Gene,Top_1,Top_2,Top_3,Top_4,Top_5,Score_1,Score_2,Score_3,Score_4,Score_5
TUBA4A,TUBA1C,TUBB3,EHD1,MAPRE1,TBCC,5.9498607770968155,4.998823998193305,4.401995246903942,4.260349977094085,3.9709282892301676
ATXN10,TTC17,RAB10,VDAC3,EXOC4,RANBP1,5.912620926815813,5.356775714662794,5.269906419117118,4.956267822686106,4.497675588142524
DNAH9,HYDIN,SPEF2,DNAH5,DNAH6,DYNC2H1,5.859435516802929,5.443102935966573,5.433764860126661,5.368852813214847,5.253089546976877
TCTN3,MKS1,TCTN1,TMEM237,TMEM231,CC2D2A,5.826624674851355,5.442905135657415,5.370707610128888,5.317323032195373,5.168953096605246
EVC,EVC2,CEP250,MDM1,AKAP3,TRIM32,5.818268239188801,2.9660257989399224,2.421828361317087,2.3519066500753483,2.347392473964908
EVC2,EVC,TCTN2,FBF1,TRIM32,GLI2,5.818268239188801,5.099515557348176,4.415010542371309,4.182231175747651,3.912176464369547
FNBP1L,TRIP11,GSK3B,CTNNB1,TTC17,RAB14,5.806891119112366,4.959225846593462,3.4395490022504567,3.3446714817276506,3.3298016533598505
TRIP11,FNBP1L,TTC17,TOPORS,PCM1,CEP290,5.806891119112366,5.16590625605487,5.093655268885688,4.68767231377642,4.245526245092131
ASAP1,EXOC4,PAFAH1B1,PCM1,GSK3B,TTBK2,5.765787128470707,5.41246654911991,4.709553432028942,4.6145746040907305,4.46591807233961
TTBK2,HTT,WDPCP,RFX3,TRAPPC9,ASAP1,5.761586389975644,4.6814317767437075,4.656070141208224,4.518240056540848,4.46591807233961
DNAAF2,POC1A,TBCC,IFT52,WDR35,NUP37,5.706224934938939,5.157350551028101,4.802651778457168,4.5111899430246005,4.273793075850888
TUBB3,TUBB2A,TUBA1A,TUBA4A,TUBB2B,TBCC,5.682081435415429,5.2570417713790745,4.998823998193305,2.8762109167150247,2.686579164980786
TMEM216,TMEM237,TCTN2,TCTN1,MKS1,TCTN3,5.671558121903909,5.183614076948278,5.170273038797698,5.043018305912925,5.013246119858712
