,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
75,ABHD12,RBPJ,0.8297872340425532,FCHO2,0.8043478260869565,SNX33,0.8043478260869565,FRG1,0.8043478260869565,VCL,0.8043478260869565
76,ABHD12B,SH3GLB2,0.6944444444444444,PARD6A,0.6842105263157895,ATRNL1,0.6842105263157895,ABHD12,0.6818181818181818,SLC25A46,0.6756756756756757
77,ABHD13,TMEM30A,0.8241758241758241,EIF1,0.8181818181818182,SEC13,0.8152173913043478,ARFGEF2,0.8131868131868132,TRAPPC5,0.8131868131868132
78,ABHD14A,ABHD14B,0.7272727272727273,RNF145,0.625,SFRP2,0.6153846153846154,PIM3,0.6153846153846154,RASSF1,0.5925925925925926
79,ABHD14B,MST1R,0.7619047619047619,ABHD14A,0.7272727272727273,RASSF1,0.72,PIM3,0.68,MET,0.6666666666666666
80,ABHD15,NRARP,0.7692307692307693,SOX17,0.6875,PTGIR,0.6428571428571429,CLIP3,0.631578947368421,SNAP47,0.625
81,ABHD16A,PHKG2,0.9166666666666666,STIM1,0.8918918918918919,ARFIP2,0.8888888888888888,PICK1,0.8717948717948718,FCHO2,0.8717948717948718
82,ABHD16B,PNPLA5,0.7666666666666667,ABHD16A,0.7647058823529411,ATP6V1G3,0.75,KCTD13,0.75,ITPKC,0.7428571428571429
83,ABHD17A,ABHD17C,0.85,ABHD17B,0.8354430379746836,RTEL1,0.7901234567901234,TOP3B,0.7721518987341772,KAT8,0.7701149425287356
84,ABHD17B,ABHD17C,0.9113924050632911,ABHD17A,0.8354430379746836,TOP3B,0.8333333333333334,RTEL1,0.8048780487804879,ATP8B4,0.7901234567901234
85,ABHD17C,ABHD17B,0.9113924050632911,ABHD17A,0.85,TOP3B,0.8481012658227848,CTSV,0.8433734939759037,RTEL1,0.8414634146341463
86,ABHD2,MLLT1,0.6842105263157895,NOTCH1,0.6666666666666666,FGFR1,0.6585365853658537,ARHGAP18,0.6578947368421053,ACBD5,0.6511627906976745
87,ABHD3,ABHD1,0.88,NPEPPS,0.8314606741573034,CBS,0.8275862068965517,SGPL1,0.8275862068965517,D2HGDH,0.8148148148148148
88,ABHD4,VPS28,0.8625,GLDC,0.8554216867469879,BTF3L4,0.8518518518518519,GLUL,0.85,CHMP5,0.8488372093023255
89,ABHD5,ABHD4,0.8289473684210527,FBXL2,0.7866666666666666,ADIPOR2,0.7866666666666666,PDCD5,0.7857142857142857,BTF3L4,0.7848101265822784
90,ABHD6,DDX59,0.7241379310344828,TTC33,0.6923076923076923,TXNL4B,0.6896551724137931,MKKS,0.6538461538461539,MX1,0.6538461538461539
