,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
122,ACAP2,CCNK,2.672887454935979,P4HA1,2.6375796873385284,GPR107,2.5735601087277664,NAPG,2.5543542351445376,MAN1A2,2.530752987507436
123,ACAP3,ACAP2,2.5114805173476333,PPIL2,2.4010441916292917,SART3,2.302333499627524,CCNK,2.25884357155718,WRAP53,2.211724776112135
124,ACAT1,ACAT1,3.802736018054397,ACAT1,3.802736018054397,GLUD1,3.1686373346716112,GLUD1,3.1686373346716112,GLUD2,3.050769579407517
125,ACAT2,CLVS2,2.2361392708733976,SYK,2.204807335929777,CLOCK,2.0845331340494293,RGS14,2.0845331340494293,KCNIP1,2.0845331340494293
126,ACBD3,PHF10,2.767041501862514,ACVR1,2.706118295027697,TMEM33,2.681382556914313,NUDCD1,2.6510757066132293,GOPC,2.6375796873385284
127,ACBD4,ACBD5,2.7374502299713175,DAB1,2.3927989455914975,L3MBTL2,2.2808991779357117,DAB2,2.2808991779357117,SGCZ,2.2361392708733976
128,ACBD5,DAB1,2.889633913983186,RC3H1,2.7950332455433755,DAB2,2.767041501862514,MRPL1,2.7374502299713175,ACBD4,2.7374502299713175
129,ACBD7,DBI,2.4711287829505473,COQ6,2.2704756379348985,SLC25A28,2.0733759724649814,HLCS,2.0515812979178274,MPC1,2.04973408829743
130,ACCS,NCAPG2,1.762827062150627,AOX1,1.549246850955574,SDR42E1,1.4354342667586641,AADAC,1.3816319542292153,XDH,1.357817815896509
131,ACCSL,NENF,1.3443841994011356,NUDT7,1.1395215478466973,MORC4,1.1395215478466973,COMTD1,1.080339004064304,SERINC4,0.9993523652041867
132,ACD,MSLN,3.802736018054397,EPB42,3.802736018054397,FAS,3.802736018054397,RARRES2,3.802736018054397,IFNL3,3.802736018054397
133,ACE,RAPGEF6,3.514820940194105,CELSR3,3.4983686500306597,TEF,3.4983686500306597,PRKD1,3.3708634012639593,PARD6B,3.3708634012639593
134,ACE2,MYOG,2.8342943925243245,KCNG1,2.78817812464194,TBX18,2.592183986141806,KCNV2,2.5345386512888255,MYF6,2.4711287829505473
135,ACER1,SS18L2,2.661358387965383,PHYHIPL,2.4711287829505473,KCNG1,2.323172423494564,HSPA13,2.323172423494564,STOML1,2.2361392708733976
136,ACER2,RASSF8,3.11545486445241,EPB41L5,2.99570133011267,KCTD2,2.99570133011267,BMP2,2.99570133011267,DAB2,2.9704814961144907
