,scGPT_bc_embeddings_similarities,scGPT_pancancer_embeddings_similarities,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_similarities,scGPT_heart_embeddings_similarities,scGPT_brain_embeddings_similarities,scGPT_kidney_embeddings_similarities,scGPT_human_embeddings_similarities,GF-6L30M_HUMANemb_similarities,GF-20L95M_HUMANemb_similarities,GF-12L95M_HUMANemb_similarities,GF-12L95MCANCER_UNIPROT_HUMANemb_similarities,GF-12L30M_HUMANemb_similarities,Correlation,Same_Complex,GeneAB,Random Forest_n10000 predictions,Random Forest_n10000 probabilities,Gene_A,Gene_B,Phylogenetic_Jaccard_Similarity,prob_z,jaccard_z,composite_score
13719,0.09095846861600876,0.22202953696250916,0.2846987843513489,0.09674788266420364,0.035999324172735214,0.1948324292898178,0.018097199499607086,0.28557565808296204,0.46603602170944214,0.17313113808631897,0.8523886799812317,0.8924225568771362,0.8281247615814209,0.2883753789431075,0,B9D1_TRAF3IP1,1,0.6264,B9D1,TRAF3IP1,0.7857142857142857,-0.11689001223286766,1.651829362372946,1.5349393501400783
21762,0.24920572340488434,0.40442246198654175,0.4108625054359436,0.2882702946662903,0.05360890552401543,0.3140561580657959,0.03649497032165527,0.417598158121109,0.4569495916366577,0.3286578059196472,0.7771642208099365,0.8695498704910278,0.5988059043884277,0.5936167648313306,0,SPAG6_ROPN1L,1,0.8046,SPAG6,ROPN1L,0.5079365079365079,1.4605897552624802,0.07356513485582511,1.5341548901183053
20160,0.1376723051071167,0.3169320225715637,0.32833755016326904,0.1304561197757721,0.017313094809651375,0.27267512679100037,0.040376435965299606,0.32932165265083313,0.5047088265419006,0.25373467803001404,0.8510663509368896,0.8900536298751831,0.8587672710418701,0.3384714653643581,0,EFHC1_IFT81,1,0.633,EFHC1,IFT81,0.7746478873239436,-0.058464835658965444,1.5889528398279982,1.5304880041690327
11304,0.12838114798069,0.11986923217773438,0.22766610980033875,0.007054019719362259,0.0384354293346405,0.19763728976249695,0.004282102920114994,0.2271835058927536,0.21261721849441528,0.06202003359794617,0.6735097169876099,0.7484917640686035,0.766516923904419,0.1979893123213794,0,PAFAH1B1_RAB1A,1,0.7574,PAFAH1B1,RAB1A,0.58,1.0427612197642735,0.48301196873740954,1.525773188501683
17524,0.17577065527439117,0.32985246181488037,0.3062394857406616,0.05056339129805565,0.057928428053855896,0.3379323482513428,0.01559877023100853,0.30689001083374023,0.4596553444862366,0.18783758580684662,0.8481784462928772,0.8806682229042053,0.8454339504241943,0.49650189241576387,0,DNAAF2_TBCC,1,0.7762,DNAAF2,TBCC,0.5487804878048781,1.209184450005085,0.3056304672642663,1.5148149172693512
19881,0.1978619247674942,0.08059249073266983,0.1461823731660843,0.09358897805213928,0.13760866224765778,0.2123001515865326,0.10708318650722504,0.14707130193710327,0.08195905387401581,0.1100190281867981,0.7343381643295288,0.7698113918304443,0.7842515707015991,0.5413168640950345,0,RAB14_ARF4,1,0.7313,RAB14,ARF4,0.618421052631579,0.8117162033129346,0.7013108313645149,1.5130270346774495
20478,0.14362570643424988,0.30450451374053955,0.2663154602050781,0.10873110592365265,0.04773527383804321,0.15285678207874298,0.03385549411177635,0.2681204080581665,0.479506254196167,0.15948861837387085,0.833435595035553,0.8845809698104858,0.8823325634002686,0.41998911836296693,0,DNAH7_IFT80,1,0.6968,DNAH7,IFT80,0.6712328767123288,0.5063118712220847,1.0013744772161837,1.5076863484382683
13487,0.12960250675678253,0.29284510016441345,0.19011515378952026,0.11241213977336884,0.006458595395088196,-0.012881599366664886,0.018604256212711334,0.1908102035522461,0.3452151119709015,0.1744777262210846,0.7762284278869629,0.8323314189910889,0.7701058387756348,0.2283606432742148,0,ARL3_DNALI1,1,0.6011,ARL3,DNALI1,0.8194444444444444,-0.340853189099491,1.8434757328571678,1.5026225437576768
11899,0.10882637649774551,0.12722668051719666,0.26288074254989624,0.09359985589981079,0.08197817206382751,0.29444193840026855,0.05627899989485741,0.264015793800354,0.2740391194820404,0.12459413707256317,0.8416272401809692,0.878585934638977,0.7630060315132141,0.049279087770519404,0,MKS1_IFT22,1,0.7164,MKS1,IFT22,0.6379310344827587,0.6798169410476117,0.8121616945313255,1.491978635578937
5011,0.11839678883552551,0.26728424429893494,0.2400171011686325,0.09460750222206116,-0.00656173937022686,0.08048583567142487,-0.00941610150039196,0.23329421877861023,0.31460249423980713,0.13661783933639526,0.8341429233551025,0.8787810802459717,0.8183687925338745,0.09606442289646343,0,NPHP1_IFT22,1,0.8662,NPHP1,IFT22,0.4038461538461538,2.0058914032855633,-0.5178503613896016,1.4880410418959618
