gene_name,complex_id
TAF2,CPX-930
TAF8,CPX-930
TAF4B,CPX-930
NOTCH1,CPX-937
RBPJ,CPX-937
MAML1,CPX-937
NUDT21,CPX-941
CPSF6,CPX-941
DNMT3L,CPX-944
DNMT3A,CPX-944
TLR4,CPX-945
TLR6,CPX-945
MAT2A,CPX-948
MAT2B,CPX-948
CBR4,CPX-949
HSD17B8,CPX-949
NUDT21,CPX-951
CPSF7,CPX-951
BRCA1,CPX-955
BRCC3,CPX-955
BRCA2,CPX-955
RAD51,CPX-955
BARD1,CPX-955
BABAM2,CPX-955
ZNHIT1,CPX-974
YEATS4,CPX-974
ACTL6A,CPX-974
VPS72,CPX-974
SRCAP,CPX-974
ACTR6,CPX-974
DMAP1,CPX-974
RUVBL2,CPX-974
RUVBL1,CPX-974
YEATS4,CPX-978
ACTL6A,CPX-978
ACTB,CPX-978
MBTD1,CPX-978
MORF4L2,CPX-978
VPS72,CPX-978
EPC2,CPX-978
KAT5,CPX-978
EP400,CPX-978
BRD8,CPX-978
EPC1,CPX-978
MEAF6,CPX-978
DMAP1,CPX-978
MRGBP,CPX-978
ING3,CPX-978
MORF4L1,CPX-978
RUVBL2,CPX-978
RUVBL1,CPX-978
TRRAP,CPX-978
SMC2,CPX-979
NCAPH,CPX-979
NCAPD2,CPX-979
NCAPG,CPX-979
SMC4,CPX-979
KRIT1,CPX-983
ITGB1BP1,CPX-983
KRIT1,CPX-984
CCM2,CPX-984
PDCD10,CPX-984
SMC2,CPX-985
NCAPD3,CPX-985
NCAPH2,CPX-985
NCAPG2,CPX-985
SMC4,CPX-985
TADA2A,CPX-989
SUPT3H,CPX-989
TADA3,CPX-989
TAF5L,CPX-989
TAF10,CPX-989
TAF12,CPX-989
TAF9,CPX-989
KAT2B,CPX-989
TRRAP,CPX-989
TAF6L,CPX-989
CASP9,CPX-991
REV3L,CPX-994
POLD2,CPX-994
POLD3,CPX-994
MAD2L2,CPX-994
TADA2A,CPX-997
TADA3,CPX-997
WDR5,CPX-997
DR1,CPX-997
ZZZ3,CPX-997
KAT2A,CPX-997
SGF29,CPX-997
KAT14,CPX-997
MBIP,CPX-997
YEATS2,CPX-997
PPP3CB,CPX-998
