,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
121,ACAP1,RAC2,8.544035524841957,CORO1A,8.495425161706855,SHKBP1,7.90562497848971,AIP,7.847202001329451,AIP,7.758108660940502
122,ACAP2,NIPBL,9.68564699540574,MEF2A,9.316438506192908,RAB10,9.270234793828335,VTI1A,9.239413555152314,CREBBP,9.211197163674388
123,ACAP3,TMEM259,8.314383800818334,CAMK2A,7.2710798575393065,NPEPL1,6.813515680830089,TOM1L2,6.76659744463507,PABPN1,6.698612771892455
124,ACAT1,ACAT1,11.14766070329549,ACAT1,11.14766070329549,FH,10.03496093870173,FH,10.028964271560165,PDHB,10.019878084411616
125,ACAT2,SPAG7,8.341162213030627,MTCH2,8.340888917196576,PUF60,8.241405739763357,AIP,8.0346961974705,CUEDC2,7.964964641027175
126,ACBD3,KCMF1,8.961967510229645,SIAH2,8.202952734614907,TM9SF3,8.094812352619387,ERLEC1,8.058333973011093,TMEM208,8.055292978331076
127,ACBD4,RNF31,7.284786525291453,MLST8,6.98909587978336,CCDC142,6.956778025673575,TAOK2,6.956134014957207,RAB33B,6.933004013125461
128,ACBD5,LGALS8,7.761625910591462,BROX,7.634415215150948,ARHGEF6,7.4219193255957565,PYROXD1,7.385391857165606,PPP1R3B,7.04085391808739
129,ACBD7,GTF2H2,6.394836277216729,ARFGAP1,6.297580167653379,ARFGAP1,6.181930158494648,OPLAH,6.161339613937383,NDOR1,6.147974304763372
130,ACCS,MIXL1,6.710536136155583,NOMO1,6.574816779860196,ZW10,6.5267911035956185,HEMK1,6.1322940942425435,POLR2J2,5.8757958824449315
131,ACCSL,ESCO2,4.148763365353026,PIGW,3.5233351730092966,DCK,3.4961916567576115,NSDHL,3.1766549647857083,RNF167,2.9287346321262095
132,ACD,TERF2,10.332376523486547,ZNF18,8.919930473941287,C8orf48,8.800046721063818,TINF2,8.762006255068746,CENPH,8.736755290121712
133,ACE,NUCB1,5.637927723082152,CYP3A5,5.590342307913996,MIER2,5.2379107290826585,CDK18,5.12813152736644,LAMP1,5.050220791806091
134,ACE2,SLC6A19,7.308362108613521,SLC37A4,6.922392918897039,MEP1A,6.814056438492069,CDHR5,6.449209886717248,MTTP,6.305793957369659
135,ACER1,RGS9BP,6.633828469244292,EML3,6.1825827174617745,ZNF414,6.181726050727265,ZNF653,6.123690330084436,SALL4,5.7962838751442725
