,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
127,ACBD4,MLST8,6.7589646388368525,C2orf15,6.740117970677652,CCDC142,6.7049946345627776,FBXO48,6.4068746109536026,WDR83,6.17386125916712
128,ACBD5,BROX,6.672441298651431,NBR1,6.666444631509867,ATMIN,6.358044607086583,VPS4B,6.343481272599927,NPIPB5,6.1824279265122115
129,ACBD7,TSGA13,6.205557928343959,NPIPA3,6.105327920406391,TSSK6,5.71554455620474,PCDHB1,5.594754546638953,MAB21L3,5.5322178750197875
130,ACCS,MIXL1,7.137611335489885,POLR2J2,6.215837929158067,NOMO1,5.640157883567937,ZNF576,5.615314548267173,MYL5,5.510801206657059
131,ACCSL,ESCO2,3.7100877307188815,PIGW,3.514767715250801,ZAP70,3.2294976926592627,RPL39L,3.2269276924557357,BCDIN3D,3.215791024907117
132,ACD,TERF2,7.713291381080016,TINF2,7.622484707222049,SETD9,7.589931371310702,RFC4,7.270394679338799,BAD,7.129044668144794
133,ACE,NBPF10,5.34375119342778,DHRS11,4.118717763079733,LAMP1,3.9867910859653284,CYP3A5,3.8959844121073615,NBPF15,3.778621069479611
134,ACE2,SLC37A4,6.46769794910375,MOGAT3,6.239824597724324,SLC6A19,5.963977909212385,LRRC19,5.954554575132786,TMEM253,5.8620345678058
135,ACER1,RGS9BP,5.671854552744774,OR1I1,5.422564533002619,ZNF157,5.337754526286217,DNLZ,5.192121181419665,KCNA7,5.131297843269518
136,ACER2,SHROOM1,5.394294530763818,MMP17,4.734661145191794,DOCK6,4.046757757380967,URB1,3.778621069479611,NMNAT1,3.770911068869029
137,ACER3,RNF130,7.469998028479425,ANKIB1,6.902027983499877,GAB2,6.866047980650493,ZSWIM6,6.740974637412161,VRK2,6.633034628864012
138,ACHE,SLC39A13,6.340054605661892,EPOR,5.693271221107503,NFKBIB,5.596467880107972,HTRA2,5.3925811972948,TOR3A,5.2957778562952695
139,ACIN1,BCLAF1,7.575368036824048,SRRM1,7.571084703151501,SF3B2,7.5590913688683745,THRAP3,7.518828032346445,ANP32A,7.502551364390771
140,ACKR1,AQP1,7.316654683002292,DNASE1L3,6.48740128399746,GNLY,6.464271282165714,C7,5.844901233115618,PLVAP,5.814917897407798
141,ACKR2,SMPD1,5.942561240849658,GPT,4.917131159642237,VAT1,4.719241143970629,CERCAM,4.696967808873391,HYAL2,4.637001137457752
142,ACKR3,PRRG3,4.736374478660812,KCNJ2,3.6406977252236423,HSPA13,3.626991057471496,THBD,3.5473210511621476,CCZ1,3.44794770995909
